symbol
ABB
ABCAPITAL
ADANIPORTS
AMBER
ANGELONE
ASHOKLEY
BAJAJ-AUTO
BAJAJHLDNG
BAJFINANCE
ADANIENSOL
ADANIPOWER
BANDHANBNK
BLUESTARCO
BOSCHLTD
BPCL
CDSL
ADANIENT
